date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:39	314/314	---M-Z	200	added ('OK')	text/xml	etag:%2266e3961d54bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:40	74739/74739	---M-Z	200	added ('OK')	text/html	etag:%2265436bd41b9ed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/%d8%ad%d9%85%d8%a7%d9%8a%d8%a9%d8%a7%d9%84%d8%a3%d8%b9%d9%85%d8%a7%d9%84.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/%d8%ad%d9%85%d8%a7%d9%8a%d8%a9%d8%a7%d9%84%d8%a3%d8%b9%d9%85%d8%a7%d9%84.html	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:40	54950/54950	---M-Z	200	added ('OK')	text/html	etag:%2262fbf7c374ad71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/main%20CC.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/main%20CC.html	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:40	59080/59080	---M-Z	200	added ('OK')	text/html	etag:%22c09dd9d255abd51:0%22	https://kb.dubaided.gov.ae/consumer%20protection/%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a%d8%a9%20%d8%a7%d9%84%d9%81%d9%83%d8%b1%d9%8a%d8%a9.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a%d8%a9%20%d8%a7%d9%84%d9%81%d9%83%d8%b1%d9%8a%d8%a9.html	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:41	86681/86681	---M-Z	200	added ('OK')	text/html	etag:%2293a5be8753d71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/%d9%85%d8%b1%d8%a7%d9%83%d8%b2%20%d8%a7%d9%84%d8%aa%d9%81%d8%aa%d9%8a%d8%b4.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/%d9%85%d8%b1%d8%a7%d9%83%d8%b2%20%d8%a7%d9%84%d8%aa%d9%81%d8%aa%d9%8a%d8%b4.html	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:41	79921/79921	---M-Z	200	added ('OK')	text/html	etag:%22ca9feb379fb9d71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/%d8%a7%d9%84%d8%a5%d8%ac%d8%b1%d8%a7%d8%a1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d8%b1%d8%a7%d8%b2%d9%8a%d8%a9.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/%d8%a7%d9%84%d8%a5%d8%ac%d8%b1%d8%a7%d8%a1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d8%b1%d8%a7%d8%b2%d9%8a%d8%a9.html	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:41	56558/56558	---M-Z	200	added ('OK')	text/html	etag:%22c1bd9faab29fd61:0%22	https://kb.dubaided.gov.ae/consumer%20protection/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%8a%d9%8a%d8%b1%20%d8%a7%d9%84%d8%b5%d8%af%d9%8a%d9%82%d8%a9%20%d9%84%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%8a%d9%8a%d8%b1%20%d8%a7%d9%84%d8%b5%d8%af%d9%8a%d9%82%d8%a9%20%d9%84%d9%84%d9%85%d8%b3%d8%aa%d9%87%d9%84%d9%83.html	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:42	221/221	---M-Z	200	added ('OK')	text/xml	etag:%224f83d291918d41:0%22	https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/filelist.xml	(from https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.htm)
14:45:42	3134/3134	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%22b0813b291918d41:0%22	https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/themedata.thmx	(from https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.htm)
14:45:42	314/314	---M-Z	200	added ('OK')	text/xml	etag:%22b0813b291918d41:0%22	https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.htm)
